delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra 
UREJANJE OKOLICE;4,22 €/h neto;NOVO MESTO;Urejanje okolice, èšèenje in košnja.; 1 ; DLJE ÈASA; Dopoldan; 275384
ÈIŠÈENJE;4,22 €/h neto;NOVO MESTO;Èišèenje prostorov  - pisarn in vlakov.; 1 ; DLJE ÈASA; Dopoldan; 275383
PAKIRANJE;4,22 €/h neto;LJUBLJANA BTC;Sestavljanje novoletnih kompletov. Pogoj: starost nad 19 let.; 4 ; 2 MESECA; Dopoldan; 275380
POLNJENJE POLIC;4,00 €/h neto;NOVA GORICA IN ŠEMPETER PRI NOVI GORICI;Podjetje potrebuje polnoletno osebo z lastnim prevozom za polnjenje - zlaganje njihovih izdelkov na police v trgovinah. Pošljite kratek Cv na e-naslov.; 1 ; DLJE ÈASA; Po dogovoru; 275379
STREŽBA;5,00 €/h neto;ŽALEC;Išèejo polnoletno osebo za pomoè v strežbi. Zaželene so izkušnje. Delo potekal popoldan in med vikendi.; 2 ; DLJE ÈASA; Popoldan; 275363
FIZIÈNA DELA<strong>INŠTALACIJE</strong>;4,22 €/h neto;ŽABNICA - PO GORENJSKEM;Podjetje išèe polnoletnega kandidata za izdelavo strojnih inštalacij (vodovod, ogrevanje, prezraèevanje ipd.). Delo je terensko. Urna postavka po dogovoru s podjetjem.; 1 ; DLJE ÈASA; Po dogovoru; 275362
PRODAJA;4,56 €/h neto;LJUBLJANA;Išèejo osebo za pripravo naroèil v spletni trgovini. Prièetek dela je èimprej oz. po dogovoru. Išèe se osebo za dlje èasa kot tudi za obèasno pomoè, po dogovoru. Za prijavo pošljite e-mail.; 1 ; PO DOGOVORU; Izmensko; 275361
DELO NA TERENU;4,50 €/h neto;VOLÈJI POTOK;Podjetje potrebuje študenta za pomoè pri izvajanju vrtnarskih del po Sloveniji. Prièetek dela je takoj.; 2 ; DO 30.11.2018; Po dogovoru; 275356
STREŽBA;4,99 €/h neto;PORTOROŽ-LUCIJA;Podjetje išèe osebo za samostojno delo v baru. Možna tudi nastanitev.; 1 ; PO DOGOVORU; Po dogovoru; 275354
DELO NA TERENU;4,00 €/h neto;ŠENÈUR;Dostava hrane. Pogoja: starost nad 18 let in izpit B-kategorije.; 1 ; DLJE ÈASA; Dopoldan; 275351
VARSTVO;5,11 €/h neto;CUDV DRAGA;Potrebujejo polnoletno osebo za delo z osebami s posebnimi potrebami. Poudarek na varovanju in osebni negi oseb s posebnimi potrebami in skrb za urejenost in èistost bivalnih prostorov.; 2 ; PO DOGOVORU; Izmensko; 275350
RAZVOZ;4,39 €/h neto;KRANJ;Podjetje potrebuje osebo za dostavo hrane. Dela se s službenim vozilom. Pogoji: starost nad 20 let, izpit B-kategorije, resnost, odgovornost.; 1 ; DLJE ÈASA; Izmensko; 275349
ZDRAVSTVENA NEGA;4,00 €/h neto;JARENINA;Podjetje potrebuje osebo za pomoè pri umivanju, oblaèenju, hranjenju, britju stanovalcev, skrb za njihovo fizièno okolje (pospravljanje postelje). Pogoji: empatija do starejših, komunikativnost, fleksibilnost.; 2 ; DLJE ÈASA; Po dogovoru; 275347
POMOÈ V TRGOVINI;4,00 €/h neto;ŽALEC;Podjetje išèe polnoletno osebo za pomoè v trgovini.; 1 ; DLJE ÈASA; Izmensko; 275343
POMOÈ PRI PRODAJI;4,00 €/h neto;LJUBLJANA BTC;Trgovec s tehniènim blagom vabi polnoletno osebo, da se pridruži ekipi za pomoè pri prodaji. Delo v prodaji ponuja priložnost za razvoj kompetenc, ki iz prodajalca naredijo strokovnjaka. Izkušnje so zaželene, ne pa nujne. Pomembni sta volja in navdušenje. Èe ti je digitalna tehnologija blizu, se oglasi. Nudijo fiksno plaèilo + stimulacijo.; 1 ; DLJE ÈASA; Izmensko; 275337
STREŽBA;5,00 €/h neto;KISOVEC;Strežba pijaè in toplih napitkov v èisto novem in zelo prijetnem lokalu. Zaželena dekleta in fantje od 18.leta dalje. Lahko ste brez izkušenj, oziroma že vešèi strežbe. Pomembne so samo vaša komunikativnost, urejenost in veselje do dela s strankami.; 5 ; PO DOGOVORU; Po dogovoru; 275320
BLAGAJNIK;4,00 €/h neto;MARIBOR;Podjetje potrebuje študente/-ke za delo na blagajni v trgovskem centru. Delo bo potekalo po urniku oz. po dogovoru. Prijavo pošljite na elektronski naslov podjetja in pripišite svojo telefonsko številko ali poklièite na navedeno telefonsko številko.; 5 ; PO DOGOVORU; Po dogovoru; 275302
BLAGAJNIK;4,22 €/h neto;KOPER;Podjetje išèe zanesljive študente za delo na blagajni kina. POGOJ: dolgoroèno sodelovanje ter visoka razpoložljivost.; 2 ; DLJE ÈASA; Popoldan; 275301
TEHNIÈNA POMOÈ;4,22 €/h neto;KOPER;Podjetje išèe, zanesljivega študenta/študentko, za opravljanje delovnega mesta video tehnik. Pogoj: izkljuèno dolgoroèno sodelovanje, ter visoka delovna razpoložljivost. Prošnjo pošljite na mail in se nemudoma oglasite na razgovoru.; 1 ; DLJE ÈASA; Popoldan; 275298
PISMONOŠA;5,07 €/h neto;IZOLA;Dostava pošiljk - pismonoša. Delovnik predvsem zjutraj (možen tudi kombiniran delovnik). Pogoj: polnoletnost, zaželen  izpit B kategorije.; 3 ; PO DOGOVORU; Izmensko; 275296
POMOÈ V STREŽBI;5,00 €/h neto;LJUBLJANA;Podjetje išèe osebi za pomoè v strežbi. Zaželeno znanje anglešèine, komunikativnost, spretnost in osebna urejenost. Dobrodošle so predhodne izkušnje iz gostinskih del. Topel ali hladni obrok zagotovljen (se ne odbije od plaèila za delo).; 2 ; DLJE ÈASA; Po dogovoru; 275293
POMOÈ PRI PRODAJI;4,22 €/h neto;LJUBLJANA CITY PARK;Potrebujejo študenta ali študentko za delo v prodajalni z obutvijo. Izkušnje niso potrebne, potrebna je dobra volja, osebni stil in team work. Prijave sprejemajo na telefon.; 2 ; PO DOGOVORU; Izmensko; 275288
POMOÈ V TRGOVINI;4,22 €/h neto;CERKLJE NA GORENJSKEM;Išèejo polnoletno osebo za delo na blagajni in polnjenje polic. Plaèilo med vikendi je 6 €/h bruto; 1 ; PO DOGOVORU; Izmensko; 275287
VRTNARSKA DELA<strong>DELO NA TERENU</strong>;6,00 €/h neto;ŠENTVID PRI STIÈNI;Podjetje išèe osebe za vrtnarska dela na terenu. Zaželen izpit B kategorije. Delo poteka pretežno v dopoldanskem èasu.; 2 ; DLJE ÈASA; Dopoldan; 275276
BLAGAJNIK;4,22 €/h neto;CERKLJE NA GORENJSKEM;Podjetje potrebuje veè polnoletnih oseb za delo na blagajni. Delo poteka vse dni v tednu, nedelje so plaèane 6€/h bruto. Pogoji: resnost in odgovornost ter dovolj razpoložljivega prostega èasa.; 3 ; DLJE ÈASA; Izmensko; 275275
POMOÈ PRI PRODAJI;4,50 €/h neto;LJUBLJANA CITY PARK;Pomoè pri prodaji, delo na blagajni, urejanje trgovine. Pogoja sta izkušnje v prodaji in starost nad 18 let. Zaèetek èimprej.  Poklièi.; 2 ; DLJE ÈASA; Izmensko; 275272
STREŽBA;5,07 €/h neto;LJUBLJANA - ŠIŠKA;Potrebujejo dve osebi za pomoè v strežbi in delo v šanku. Zahtevane so izkušnje v strežbi. Prijave sprejemajo na telefon.; 2 ; DLJE ÈASA; Popoldan; 275261
STREŽBA;5,07 €/h neto;LJUBLJANA RUDNIK;Potrebujejo dve osebi, ki imata izkušnje v strežbi, z delom na blagajni in dobro znanje kuhanja kave. Delovnik je po dogovoru. Prijave sprejemajo na elektronski naslov ali preko telefona.; 2 ; DLJE ÈASA; Med vikendom; 275260
STREŽBA;4,00 €/h neto;TURNIŠÈE PRI PTUJU;Podjetje potrebuje polnoletno, vestno, komunikativno in zanesljivo osebo za delo v strežbi. Delovni èas je po potrebi in dogovoru. Podjetje zraven urne postavke nudi tudi stimulacijo. Interesenti naj se oglasijo osebno v lokalu ali poklièejo na kontakt podjetja.; 1 ; DLJE ÈASA, PO POTREBI; Po dogovoru; 275255
DELO V KUHINJI;4,00 €/h neto;VELENJE;Podjetje potrebuje resne, odgovorne osebe z veseljem do dela v kuhinji. Gre za razna pomožna dela v kuhinji. Dela se v dveh izmenah, kuhinja obratuje od ponedeljka do petka, tudi ob praznikih. Za prijavo poklièite na kontakt podjetja.; 3 ; DLJE ÈASA, PO POTREBI; Po dogovoru; 275254
FIGURANT<strong>DELO NA TERENU</strong>;4,00 €/h neto;GROSUPLJE, SLOVENIJA;; 1 ; DLJE ÈASA; Dopoldan; 275248
DELO NA TERENU;4,22 €/h neto;KRANJ;Dostava hrane. Pogoj je starost nad 18 let in vozniški izpit B kategorije ter nekaj izkušenj v prometu.; 2 ; DLJE ÈASA; Izmensko; 275246
RAÈUNOVODSKA DELA;PO DOGOVORU;LJUBLJANA;Išèejo študenta/ko zadnjega letnika fakultete raèunovodske, finanène, ekonomske smeri za obèasno pomoè v pisarni pri pripravi obraèuna plaè, vnos podatkov in raèunov v bazo, skrb za urejenost dokumentacije in pravilno shranjevanje dokumentov in ostala dela. Prednost predstavljajo izkušnje pri obraèunu plaè za napotene delavce. Prijave + CV sprejemajo na e-mail.; 1 ; PO DOGOVORU; Dopoldan; 275241
STREŽBA;4,65 €/h neto;VOLIÈINA;Podjetje potrebuje dve osebi za strežbo v vinotoèu in baru. Dela se veèinoma med vikendi in popoldan. Pogoji: prijaznost, komunikativnost in pridnost. Izkušnje so zaželene. Možnost redne zaposlitve.; 2 ; DLJE ÈASA; Popoldan; 275217
STREŽBA HRANE IN PIJAÈE;5,50 €/h neto;MEDVODE;Prijeten, mlad kolektiv išèe osebo za strežbo hrane in pijaèe. Pogoji: izkušnje, starost nad 18 let, resnost, odgovornost in zanesljivost. Malica zagotovljena.; 1 ; DLJE ÈASA; Izmensko; 275209
STREŽBA;4,00 €/h neto;SEŽANA;Želiš delati v mladem kolektivu? Nimaš izkušenj? Ni problema, z veseljem te bodo nauèili postreèi dobro kavo. Pomembno je le, da te zanima ta poklic in imaš veselje do dela, si odgovoren/a in zanesliv/a. Èe imaš to, lahko tvoja urna postavka postane veliko višja.; 2 ; PO DOGOVORU; Po dogovoru; 275200
STREŽBA;4,00 €/h neto;KRIŽ;Želiš delati v mladem kolektivu? Nimaš izkušenj? Ni problema, z veseljem te bodo nauèili postreèi dobro kavo. Pomembno je le, da te zanima ta poklic in imaš veselje do dela, si odgovoren/a in zanesliv/a. Èe imaš to, lahko tvoja urna postavka postane veliko višja.; 2 ; PO DOGOVORU; Po dogovoru; 275197
POMOÈ V KUHINJI;4,00 €/h neto;EMONSKA KLET;Pomivanje posode in pomoè v kuhinji.; 2 ; DLJE ÈASA; Izmensko; 275191
PROGRAMIRANJE;PO DOGOVORU/PROJEKTU;LJUBLJANA;Zaželeno poznavanje: PL/SQL, JAVASCRIPT, C,C++, CPro,ter SHELL, UNIX, LINUX, Android, PhoneGap, SPRINGFRAMEWORK, WEBSERVICES, Oracle. Zaželeno dobro znanje angleškega jezika in vozniški izpit B kategorije. Prednost imajo študenti Fakultete za raèunalništvo in informatiko/elektrotehniko/matematiko in fiziko ali druga sorodna smer študija.; 1 ; PO DOGOVORU; Po dogovoru; 275186
POMOÈ V STREŽBI;5,00 €/h neto;LJUBLJANA SOSTRO;Pogoj je starost nad 18 let. Zaželena lasten prevoz.; 1 ; DLJE ÈASA; Izmensko; 275182
DELO NA RECEPCIJI;4,50 €/h neto;LJUBLJANA;Potrebujejo komunikativno, urejeno, gostoljubno, prijazno, organizirano in fleksibilno osebo za delo noènega receptorja/ke. Pogoji: starost nad 18 let, organizacijske vešèine, dobro znanje angleškega jezika, znanje drugega tujega jezika je prednost. Prijave sprejemajo na elektronski naslov ali preko telefona.; 2 ; DLJE ÈASA; Izmensko; 275179
DELO NA BENCINSKEM SERVISU<strong>DELO NA BLAGAJNI</strong>;4,00 €/h neto;MARIBOR;Podjetje išèe osebo za delo na blagajni na bencinskem servisu. Pogoj je starost nad 18 let.; 1 ; DLJE ÈASA; Po dogovoru; 275178
POUÈEVANJE;8,45 €/h neto;LJUBLJANA;Športno plezalni klub išèe inštruktorja oz. vaditelja športnega plezanja. Prednost imajo študenti/ke fakultete za šport.; 1 ; PO DOGOVORU, DLJE ÈASA; Popoldan; 275174
POMOÈ PRI PRODAJI;4,22 €/h neto;KOPER;Podjetje išèe veè oseb za pomoè pri prodaji. Prijavo s pripisom Stradivarius Koper ter telefonsko številko (obvezno) sprejemajo na e-mail. Polnoletnost ni pogoj. Išèejo osebe za delo med vikendom in tudi delo med tednom.; 5 ; DLJE ÈASA - DELO OB VIKENDIH; Izmensko; 275173
POMOÈ PRI PRODAJI;4,22 €/h neto;KOPER;Pomoè pri prodaji v trgovini Bershka.  Polnoletnost ni pogoj. Izkušnje niso potrebne. Vlogo in CV s telefonsko številko pošlji na e-naslov, s priposom: za Bershka Koper. Išèejo osebe za delo ob vikendih in za med tednom.; 5 ; DLJE ÈASA - DELO OB VIKENDIH; Izmensko; 275172
STREŽBA;4,65 €/h neto;CELJE;Nov lokal išèe polnoletno in komunikativno osebo za delo v strežbi. Delo bo potekalo izmensko po dogovoru, nedelje in praznike je prosto.; 2 ; DLJE ÈASA; Po dogovoru; 275162
PROGRAMIRANJE;6,76 €/h neto;LJUBLJANA;Podjetje potrebuje polnoletno osebo za programiranje. Pogoji: odlièno poznavanje programskega jezika C#, ASP.NET, okolje Visual Studio 2017,  poznavanje MVC arhitekture,        poznavanje JavaScript in jQuery,        izkušnje z Git/GitHub repozitorijem.; 1 ; PO DOGOVORU; Dopoldan; 275154
ÈIŠÈENJE;4,22 €/h neto;MARIBOR;Podjetje potrebuje študenta/tko za praznjenje košev in pobiranje smeti. Dela se do 3x tedensko oz. po dogovoru.; 1 ; DLEJ ÈASA; Po dogovoru; 275151
ÈIŠÈENJE;4,22 €/h neto;MARIBOR;Podjetje išèe študente/-ke za pomoè pri èišèenju vlakov. Prednost imajo študenti z veè prostega èasa.; 5 ; DLJE ÈASA; Po dogovoru; 275149
PROGRAMIRANJE;PO DOGOVORU;INDUSTRIJSKA CONA TRZIN;So vam poznane tehnologije za Artificial Intelligence in Machine Learning?Išèejo vedoželjnega študenta/tko, ki bi  raziskoval ta zanimiva podroèja in jih pomagal izkoristiti za potrebe OCR Optical Character Recognition in RPA Robot Process Automation. Nudijo: stimulativno okolje, stik z mednarodnim poslovnim okoljem. Sodelovanje prilagojeno študijskim obveznosti.; 1 ; DLJE ÈASA; Dopoldan; 275140
PROGRAMIRANJE;6,76 €/h neto;INDUSTRIJSKA CONA TRZIN;Išèejo študenta/tko z znanjem oz izkušnjami z : .NET, C#, WF (Workflow Foundation),XAML,JavaScript ter jQuery. Prièakujejo: samostojnost, samoiniciativnost, vedoželjnost in pripravljenost na timsko delo. Nudijo: stimulativno okolje, stik z mednarodnim poslovnim okoljem.  Sodelovanje prilagojeno študijskim obveznosti.; 1 ; DLJE ÈASA; Dopoldan; 275139
POMOÈ V STREŽBI;4,93 €/h neto;IVANÈNA GORICA;Imaš veselje za delo z ljudmi, potem si pravi naslov za nas. Išèejo osebo, ki je komunikativna, resna in poštena, za delo v prijetnem kolektivu.  Delo zajema strežbo pijaè in prigrizkov in skrb za urejenost poslovnega prostora. Nudijo redno plaèilo + stimulacijo, možnost oddaljenim povraèilo potnih stroškov – po dogovoru. Delovne izkušnje niso pogoj, potrebna samo volja do spoznavanja in uèenja.; 2 ; DLJE ÈASA; Izmensko; 275131
POMOÈ V STREŽBI;5,01 €/h neto;POSTOJNA;Podjetje išèe polnoletni osebi za pomoè v strežbi. Izkušnje niso potrebne, delo poteka v prijetnem kolektivu, èe imaš veselje do dela z ljudmi se nam pridruži. Za veè informaciji poklièi.; 2 ; DLJE ÈASA; Izmensko; 275125
DELO V SKLADIŠÈU;4,20 €/h neto;SEŽANA;Podjetje, ki se ukvarja s spletno prodajo športne opreme išèe pomoè pri pakiranju dnevnih naroèil. Pogoj je starost nad 18 let. Potrebne vešèine: natanènost, delavnost, želja po napredku (možnost kasnejše zaposlitev). Izkušnje niso pogoj. Podjetje si želi sodelovanja za dlje èasa.; 1 ; DLJE ÈASA, PO DOGOVORU; Dopoldan; 275123
POMOÈ V TRGOVINI;4,00 €/h neto;MARIBOR CENTER;Podjetje potrebuje osebo za pomoè v kitajski trgovini v centru Maribora. Pogoj: znanje angleškega jezika. Lahko poklièete ali se oglasite osebno v trgovini.; 1 ; DLJE ÈASA; Po dogovoru; 275112
DELO V PROIZVODNJI;5,00 €/h neto;KAMNIK - ŠMARCA;Podjetje potrebuje polnoletne osebe za lažja dela v proizvodnji (lepljenje pene). Delo je dopoldansko.; 3 ; PO DOGOVORU; Dopoldan; 275111
GRADBENA DELA;6,00 €/h neto;ŠKOFJA LOKA Z OKOLICO;Podjetje išèe pridno polnoletno osebo za delo v gradbeništvu. Delovne naloge: adaptacije na kljuè, slikopleskarska dela, suhomontažna dela, talne in stenske obloge. Izkušnje so zaželene niso pa pogoj, èe je interes po pridobivanju znanja in uèenju, je dovolj veselje do dela in pridnost ter samoiniciativnos. Za ostale informacije glede dela, pogojev, kontaktirajte podjetje.; 2 ; DLJE ÈASA; Dopoldan; 275099
STREŽBA;4,56 €/h neto;SREDNJA VAS PINOCCHIO BAR;Potrebujejo dve osebi za delo v strežbi.  Zaželene so izkušnje, ni pa nujno.; 2 ; DLJE ÈASA; Izmensko; 275097
DELO NA TERENU<strong>SPREMLJEVALEC SMETARSKEGA VOZILA</strong>;4,73 €/h neto;BOROVNICA, VRHNIKA, LOG-DRAGOMER;SPREMLJEVALEC SMETARSKEGA VOZILA - fizièno delo na terenu (pobiranje odpadkov). Zaželeno je, da je kandidat/ka doma iz bližnje okolice.; 1 ; DLJE ÈASA; Dopoldan; 275096
DELO V SKLADIŠÈU;4,00 €/h neto;CELJE;Trgovec s tehniènim blagom išèe polnoletno oseboua delo v skladišèu. Izkušnje so zaželene, ne pa pogoj. Pomembni sta volja in zagnanost. Delo poteka v centralnem skladišèu v Celju. Èe si pripravljen na fizièno delo v skladišèu, se prijavi. Plaèilo je fiksno.; 1 ; DLJE ÈASA; Dopoldan; 275092
STREŽBA;4,00 €/h neto;KRANJSKA GORA;Pogoj: starost nad 18 let. Plaèilo znaša od 4,73 do 5,20 €/h bruto. Vloge pošljite na e-mail.; 3 ; DLJE ÈASA; Izmensko; 275090
PISMONOŠA;5,07 €/h neto;NOVA GORICA - KROMBERK;"Dostava pisemskih pošiljk in paketov v Novi Gorici in okolici. Pogoja; vozniški izpit B kategorije najmanj 2 leti in izkušnje pri vožni s kombijem."; 2 ; DLJE ÈASA; Dopoldan; 275083
STREŽBA HRANE IN PIJAÈE;4,00 €/h neto;VODICE NAD LJUBLJANO;Pogoj je starost nad 18 let. Delo ob sobotah in nedeljah po dogovoru.; 1 ; PO DOGOVORU; Izmensko; 275079
POMOÈ V STREŽBI;5,50 €/h neto;OBRIJE - BLIŽINA NOVIH JARŠ;Zaželene izkušnje v gostinstvu. Predvsem pa delavnost, poslušnost, hitro uèenje...; 2 ; PO DOGOVORU, DLJE ÈASA; Po dogovoru; 275076
POUÈEVANJE;7,00 €/h neto;KAMNIK, KOMENDA IN KRANJ;Išèejo polnoletno osebo za pouèevanje klavirja. Zaželene so delovne izkušnje, predvsem pa smisel za delo z otroki. Glede na lokacije dela je zaželen lasten prevoz.; 1 ; PO DOGOVORU; Popoldan; 275072
PRODAJA;5,00 €/h neto;LOKEV;Prodaja in strežba slašèic ter strežba pijaèe v slašèièarni. Pomoè potrebujejo ob vikendih. Odpiralni èas je v sobotah od 8.00 do 18.00 in v nedeljah od 8.30 do 12.30. Od kandidata prièakujejo pogovorno znanje italijanskega jezika ter nekaj izkušenj v prodaji.; 1 ; PO DOGOVORU; Med vikendom; 275066
STREŽBA;4,50 €/h neto;MIKLAVŽ;Strežba pijaèe.; 2 ; DLJE ÈASA; Po dogovoru; 275063
VRTNARSKA DELA<strong>DELO V TRGOVINI</strong>;4,00 €/h neto;POSTOJNA;Pogoj je starost nad 18 let. Zlaganje, pomoè strankam.; 2 ; PO DOGOVORU; Izmensko; 275062
DELO V PROIZVODNJI;4,00 €/h neto;BREG PRI LITIJI;Delo zajema pripravo materiala, oznaèevanje, sestavo in pakiranje izdelkov. Zaželena elektro ali strojna smer izobraževanja z možnostjo opravljanja del na strojni opremi.; 3 ; DLJE ÈASA; Izmensko; 275061
DELO V PROIZVODNJI;4,00 €/h neto;KANDRŠE;Delo zajema pripravo materiala, oznaèevanje, sestavo in pakiranje izdelkov. Zaželena elektro ali strojna smer izobraževanja z možnostjo opravljanja del na strojni opremi.; 3 ; DLJE ÈASA; Izmensko; 275060
POMOÈ V KUHINJI;5,92 €/h neto;LJUBLJANA;Podjetje potrebuje polnoletno osebo za pomoè v kuhinji. Delo poteka v dopoldanskem èasu med ponedeljkom in petkom.; 1 ; DLJE ÈASA; Dopoldan; 275059
PRODAJA<strong>DELO V TRGOVINI</strong>;4,00 €/h neto;MOSTE PRI KOMENDI;Podjetje išèe polnoletno osebo za pomoè pri prodaji (polnjenje polic, skrb za èistoèo trgovine, delo na blagajni) in prevzem blaga z dlanènikom. Pogoj je fizièna moè. Delo bo potekalo v popoldanskem èasu in tudi med vikendi.; 1 ; DLJE ÈASA; Popoldan; 275056
LAŽJA FIZIÈNA DELA<strong>DELO V PRALNICI</strong>;4,00 €/h neto;JESENICE;Delo v pralnici. Pogoja sta starost nad 18 let in resnost.; 1 ; DLJE ÈASA; Dopoldan; 275055
MONTAŽA<strong>POMOÈ PRI MONTAŽI</strong>;4,22 €/h neto;METLIKA;Pomoè pri montaži oken v Metliki.; 1 ; PO DOGOVORU; Dopoldan; 275050
POMOÈ V STREŽBI;5,04 €/h neto;LJUBLJANA BTC;Za delo v strežbi v lounge klubu išèejo urejeno osebo, ki se rada uèi in uživa pri delu z ljudmi. Za veè informacij poklièi ali pošlji prijavo na e-mail.; 1 ; DLJE ÈASA; Izmensko; 275049
POMOÈ V TRGOVINI;4,00 €/h neto;LJUBLJANA - BTC;Potrebujejo osebo za pomožna dela v trgovini s èevlji. Delo za daljše obdobje, lahko tudi samo za vikende oz. 3 - 4 na teden. Pogoj: starost nad 18 let.; 1 ; PO DOGOVORU, DLJE ÈASA; Po dogovoru; 275041
POMOÈ V STREŽBI;4,50 €/h neto;PODGORICA;Izkušnje niso potrebne, so pa zaželene. Delovni èas je prilagodljiv.; 3 ; PO DOGOVORU; Po dogovoru; 275013
DELO V SKLADIŠÈU;4,30 €/h neto;MARIBOR;Išèejo študente/ke za pomoè v skladišèu. Dinamièno delo v mladem kolektivu od ponedeljka do petka, s prièetkom ob 7. uri. Možnost kasnejše zaposlitve. Za vse dodatne informacije pošljite e-mail.; 1 ; DLJE ÈASA; Dopoldan; 275003
STREŽBA;4,50 €/h neto;REÈICA OB SAVINJI;Išèejo osebo za delo v strežbi.; 1 ; DLJE ÈASA; Izmensko; 274999
DELO V PROIZVODNJI;5,83 €/h neto;KOMENDA, POSLOVNA CONA ŽEJE PRI KOMENDI;Podjetje potrebuje veè polnoletnih oseb za delo v proizvodnji za brizganje plastike. Delo je 3-izmensko. Prednost imajo kandidati s tehnièno smerjo izobraževanja. Možnost kasnejše redne zaposlitve.; 5 ; DLJE ÈASA; Izmensko; 274998
DELO V PROIZVODNJI;5,41 €/h neto;KOMENDA, POSLOVNA CONA ŽEJE;Podjetje išèe polnoletne osebe tehniène smeri (strojnik, mehatronik ...) za delov v orodjarni (CNC operater na rezkalnem stroju) z osnovnim tehniènim znanjem z možnostjo priuèitve. Nudijo možnost kasnejše redne zaposlitve.; 1 ; DLJE ÈASA; Dopoldan; 274996
ANKETIRANJE PO TELEFONU;4,30 €/h neto;LJUBLJANA BEŽIGRAD;Telefonsko anketiranje na razliène tematike za razliène naroènike. Pogoji: starost nad 17 let in komunikativnost. Delo poteka v popoldanskih urah (od 16. ure dalje) in je obèasno. Zaželeno je delo za daljše obdobje. Prijave in CV sprejemajo na e-mail.; 5 ; DLJE ÈASA; Popoldan; 274980
TRŽENJE;5,93 €/h neto;LOGATEC Z OKOLICO;Mlad in uspešen team vabi veè komunikativnih in odgovornih študentov/tk, usmerjenih k doseganju rezultatov, za trženje telekomunikacijskih storitev na terenu. Nudijo uvajanje v delo, dobro plaèilo (fiksna urna postavka + stimulacija - osnova 5,93 neto s stimulacijo do 9,81 neto na uro), možnost kariernega razvoja in dolgoroène zaposlitve. Za prijavo pošljite CV, s pripisom: Logatec, na e-mail.; 2 ; DLJE ÈASA; Popoldan; 274976
STREŽBA HRANE IN PIJAÈE;5,10 €/h neto;GOSTILNA BAJC - SINJA GORICA, VRHNIKA;Išèejo polnoletno osebo za sprejemanje naroèil pijaèe, strežbo pijaèe in hrane, odnašanje posode v kuhinjo, pospravljanje miz ter delo v šanku. Predvsem delo poteka na porokah oziroma zakljuèenih družbah - ob sobotah, oziroma po potrebi in dogovoru med tednom v popoldanskem èasu in na cateringih. Za veè info poklièite ali pošljite prijavo na e-naslov.; 1 ; DLJE ÈASA; Med vikendom; 274963
DELO V DELAVNICI;4,22 €/h neto;MENGEŠ;Išèejo zanesljivo osebo za delo v delavnici (pomoè pri sestavljanju žaluzij in sestavljanju posameznih delèkov za žaluzije).; 1 ; 1 MESEC ALI DLJE; Dopoldan; 274956
STREŽBA;5,00 €/h neto;STARI TRG PRI LOŽU;Pomoè pri strežbi pijaèe.; 1 ; DLJE ÈASA; Izmensko; 274946
STREŽBA;4,00 €/h neto;DOMŽALE;Bar iz Domžal potrebuje polnoletno, dinamièno osebo za delo v lokalu. Delo je popoldansko. Vikendi so delovni po dogovoru.; 1 ; DLJE ÈASA; Popoldan; 274943
STREŽBA;5,00 €/h neto;ŠMARJE PRI JELŠAH;Išèejo prijazno, urejeno in komunikativno osebo z izkušnjami za delo v kavarni/baru.; 1 ; DLJE ÈASA; Po dogovoru; 274917
DELO S STRANKAMI<strong>PRODAJA</strong>;4,22 €/h neto;LJUBLJANA;Podjetje potrebuje osebo za delo v poslovalnici telekomunikacijskih storitev. Pogoji: starost nad 18 let, natanènost, resnost in komunikativnost. Poleg urne postavke nudijo tudi stimulacijo. Prijave sprejemajo na e-mail.; 1 ; DLJE ÈASA; Po dogovoru; 274905
ÈIŠÈENJE;4,65 €/h neto;LJUBLJANA;Podjetje potrebuje veè kandidatov za èišèenje zunanjih in notranjih prostorov. Delo poteka po dogovoru, vkljuèno z vikendi.; 5 ; DLJE ÈASA; Izmensko; 274903
DELO NA TERENU<strong>RAZVOZ HRANE</strong>;4,00 €/h neto;ŠKOFJA LOKA;Podjetje išèe kandidata za razvoz hrane. Pogoja: starost nad 18 let in izpit B-kategorije.; 1 ; DLJE ÈASA; Izmensko; 274901
DELO V PROIZVODNJI;4,00 €/h neto;IZOLA;Podjetje išèe dve osebi za delo v proizvodnji. Pogoji: vsaj malo fiziène moèi, starost nad 18 let in resnost - javite se samo resni kandidati.; 1 ; DLJE ÈASA, PO DOGOVORU; Dopoldan; 274896
STREŽBA;PO DOGOVORU;MARIBOR;Podjetje potrebuje prijazno, komunikativno in odgovorno osebo za strežbo. Delo poteka od ponedeljka do petka. Pogoji: izkušnje in starost nad 18 let.; 1 ; DLJE ÈASA; Izmensko; 274894
POMOÈ V TRGOVINI<strong>ŠIVANJE</strong>;PO DOGOVORU;CELJE;Podjetje išèe vestno, zanesljivo in odgovorno osebo za vsestransko delo v salonu poroènih oblek, pomoè pri šivanju in fotografiranju. Pogoji: komunikativnost, osnovno raèunalniško znanje, obèutek za fotografiranje in roène spretnosti - šivanje.; 1 ; DLJE ÈASA; Po dogovoru; 274890
