delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra
STREŽBA HRANE IN PIJAČE;4.00;LJUBLJANA;V manjši kavarnici iščejo polnoletno, zanesljivo, prijetno in odgovorno osebo, ki jo veseli delo z ljudmi. Nudijo delo v prijetnem ambientu in energičnem kolektivu. Delo poteka v popoldanskem času, delovnik po dogovoru s podjetjem. Urna postavka se poveča glede na uspešnost. Veseli bodo vaše prijave.;1; DLJE ČASA; Popoldan;280573

BLAGAJNIK;4.22;DOMŽALE;Trgovsko podjetje išče polnoletne osebe za delo na blagajni. Pogoji: resnost, poštenost in natančnost. Prednost bodo imeli kandidati z izkušnjami pri delu na blagajni. Delovnik je fleksibilen, delovni so tudi vikendi. Med tednom je urna postavka 5 €  bruto, ob nedeljah 6 € bruto.;1; DLJE ČASA; Izmensko;280572

ADMINISTRATIVNA DELA;4.00;LJUBLJANA;Administrativna dela v notarski pisarni. Pogoji: absolvent/ka magistrskega študija pravne fakultete, ki ima čas ter veselje za delo v notariatu. Dosedanje  izkušnje pri delu zelo zaželene, sposobnost za hitro in natančno delo ter ročna spretnost. Možnost kasnejšega dviga urne postavke. Prijave sprejemajo izključno na navedeni elektronski naslov.;1; DLJE ČASA; Dopoldan;280571

DELO NA RECEPCIJI;4.65;LJUBLJANA;Dobrodošli vsi, ki imate željo po novih znanjih in obenem cenite dobre delovne pogoje, fleksibilen delovnik, redno plačilo, jasna navodila za delo, prijetne goste in odlično timsko vzdušje v mladem in zagnanem kolektivu. Pogoji: starost nad 19 let, izkušnje pri delu z ljudmi in aktivno znanje vsaj enega tujega jezika. Prijave in CV sprejemajo na e-mail.;2; DLJE ČASA; Po dogovoru;280570

DEKLARIRANJE;5.00;LJUBLJANA;Sodobno skladišče k sodelovanju vabi študente/tke, ki so vajeni opravljati lažja fizična dela, imajo ročne spretnosti, so hitri, resni in odgovorni. Prednost imajo študentje/tke, ki imajo opravljen sistematski pregled.;10; DLJE ČASA; Po dogovoru;280569

PRODAJA;4.00;JESENICE;Prodaja in delo na blagajni v drogeriji. Pogoj je starost nad 18 let. Prijave pošljite na e-mail.;1; DLJE ČASA; Izmensko;280568

DEGUSTACIJE;4.65;MARIBOR Z OKOLICO;Iščejo zanesljive, komunikativnein polnoletne kandidate za izvajanje promocij, degustacij po trgovinah. Lasten prevoz je obvezen. Izkušnje na tem področju so zaželene.;5; DLJE ČASA; med vikendom;280567

POMOČ V STREŽBI;4.00;CELJE;Podjetje potrebuje polnoletno osebo za pomoč v strežbi. Urna postavka se po uvajalnem času zviša.. Pogoj je lasten prevoz (ni javnega prevoza na kraj dela).;1; DLJE ČASA; med vikendom;280563

DELO V LABORATORIJU;5.00;LJUBLJANA;Iščejo študenta/ko za delo na področju biomase. Delo bo vključevalo izvajanje eksperimentov z uporabo vrhunske laboratorijske opreme, prav tako se boš spoznal(a) z naprednimi analitskimi tehnikami (GC/MS, NMR, HPLC, SEC, FTIR), ki se uporabljajo za karakterizacijo produktov, pridobljenih iz lesne biomase. Delo bo potekalo na Odseku za katalizo in reakcijsko inženirstvo (D13). Rok za zbiranje prijav je do 12.11.2018. Prijavo in CV pošlji na e-mail.;1; DLJE ČASA; Dopoldan;280562

BLAGAJNIK;4.65;PORTOROŽ;Iščejo polnoletno osebo za delo na blagajni. Pogoj je osnovno znanje italijanskega jezika. Izkušnje so zaželene.;2; DLJE ČASA; Izmensko;280561

ADMINISTRATIVNA DELA;4.56;LJUBLJANA;Podjetje išče zanesljivo, odgovorno in natančno osebo za administrativna dela. Delo poteka med tednom in zajema skeniranje in fotokopiranje, urejanje in arhiviranje dokumentacije ter druge naloge. Prednost imajo kandidati z izkušnjami pri administrativnem delu in arhiviranju, dobrim znanjem uporabe Microsoft Office-a in študenti/tke zaključnih letnikov. Prijave + CV pošljite na e-mail (Zadeva: Študentsko delo).;2; PO DOGOVORU; Dopoldan;280560

FIZIČNA DELA;6.00;LJUBLJANA;Pričetek dela je okoli 11. ure in bo trajalo cca 3 ure. Pogoj: fizično močna oseba.;3; 30.10.2018; Dopoldan;280559

DELO NA RECEPCIJI;4.00;LJUBLJANA;Podjetje išče zanesljivo in odgovorno polnoletno osebo, ki jo veseli delo s strankami za delo na recepciji fitnesa.  Delovne naloge obsegajo tudi strežbo. Vikendi so delovni. Poleg stimulacije ob plačilu kandidatu nudijo tudi brezplačen vstop na fitnes in vodene vadbe ter bone za sončenje.;1; DLJE ČASA; Izmensko;280558

DELO V LABORATORIJU;5.07;LJUBLJANA;Potrebujejo pomoč pri delu v kemijskem laboratoriju. Delo vključuje sodelovanje z raziskovalci in strokovnim osebjem pri izvajanju poskusov, sintezi in karakterizaciji materialov ter njihovem testiranju, spremljanje poskusov in poročanje o rezultatih meritev. Prijavo in CV prosim pošljite na e-mail.;1; PO DOGOVORU; Dopoldan;280557

KLICNI CENTER;4.22;LJUBLJANA;Prodajni dohodni klici strank, svetovanje ter prodaja. Potrebna znanja/veščine: prodajne veščine (so zaželene, niso pa pogoj), komunikacijske sposobnosti in veščine vztrajnosti. Seznanitev z njihovimi storitvami, pridobitev novih znanj in izkušenj. Nudijo prijetno delovno okolje v mladi ekipi, fleksibilen urnik ter redno delo in plačilo. Poleg urne postavke še stimulacija (do 8 €/h).;1; DLJE ČASA; Po dogovoru;280556

PRODAJA;5.07;CELJE;Trgovsko podjetje potrebuje polnoletne osebe za delo s strankami (zbiranje povratnih informacij, zbiranje naročil in  priprava blaga za končne kupce). Pogoji: prijaznost, ustrežljivost, natančnost....;5; DLJE ČASA; Po dogovoru;280555

POMOČ PRI PRODAJI;4.22;LJUBLJANA;Iščejo prijazno, ustrežljivo in komunikativno osebo za prodajo  otroških unikatnih oblačil in modnih dodatkov na stojnici. Delo poteka od četrtka do sobote po dogovoru. Za prijave pokličite ali jim pišite na e-mail.;1; DLJE ČASA; Izmensko;280554

RAZVOZ;4.70;LJUBLJANA;Manjša picerija v Ljubljani išče pridno osebo za razvoz hrane na dom v popoldanskem času. Pogoja sta starost nad 18 let in izpit B-kategorije. Nudijo prijetno vzdušje in redno plačilo.;1; DLJE ČASA; Popoldan;280553

POUČEVANJE;6.76;LJUBLJANA;Podjetje išče študenta/ko z znanjem igranja kitare. Pogoji: ljubezen do dela z otroki, starost nad 21 let in restnost.;1; DLJE ČASA; Popoldan;280552

POUČEVANJE;6.76;LJUBLJANA;Podjetje išče študenta/ko z znanjem igranja klavirja. Pogoji: ljubezen do dela z otroki, starost nad 21 let in restnost.;1; DLJE ČASA; Popoldan;280551

RAZVOZ;5.00;LJUBLJANA;Razvoz in dostava blaga na območju Ljubljane in okolice. Pogoji: vozniški izpit B kategorije, pridnost, natančnost, poštenost.;1; PO DOGOVORU; Dopoldan;280549

POMOČ PRI PRODAJI;4.00;LJUBLJANA;Prodaja kavnih aparatov, kavnih kapsul in ostalih dodatkov za kavo. Možno plačilo stimulacije. Za prijavo pošlji e-mail.;3; DLJE ČASA; Po dogovoru;280546

