delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra

STREŽBA;4.00;SLOVENSKA BISTRICA;Podjetje išče osebo za delo v baru. Pogoji: starost nad 18 let, prijaznost, urejenost ...;2; DLJE ČASA; Po dogovoru;275871

STREŽBA;4.50;NAKLO;Strežba pijač.;4; DLJE ČASA; Izmensko;275869

DELO V SKLADIŠČU;5.07;TROJANE;Podjetje potrebuje polnoletno osebo za delo v skladišču in na parkirišču.  Delo poteka tudi ob sobotah, nedeljah in praznikih. Razpored dela: med tednom dopoldne, ostalo po dogovoru. Pogoj je vozniški izpit B kategorije.;1; PO DOGOVORU; Po dogovoru;275863

POMOČ PRI PRODAJI;4.00;LJUBLJANA;Iščejo zanesljive, odgovorne osebe za pomoč pri prodaji. Izkušnje zaželene. Plačilo 4,73 €/h bruto, 5,50 €/h bruto za delo ob nedeljah.;3; PO DOGOVORU; Izmensko;275860

DELO V PROIZVODNJI;4.20;DOLNJE BREZOVO;Za delo v proizvodnji potrebujejo dva kandidata. Poleg urne postavke nudijo še povrnjen prevoz in 4 €/dan za malico.;2; PO DOGOVORU; Dopoldan;275853

STREŽBA;5.00;SLOVENSKA BISTRICA;Potrebujejo dve osebi za strežbo v dnevnem lokalu v Slovenski Bistrici. Nudijo plačilo: fiksni del + stimulacija + napitnina. Zaželena dobra volja, komunikativnost in veselje do dela. Pričetek dela je takoj.;2; PO DOGOVORU; Izmensko;275847

DELO NA BENCINSKEM SERVISU;4.50;LOGATEC - LOM;Podjetje išče kandidate za delo na bencinskem servisu.  Nočna izmena je plačana 5,56 € bruto/h. Pogoj je starost nad 18 let. Dostop je mogoč tudi po stari cesti Postojna - Logatec.;4; DLJE ČASA; Izmensko;275845

DELO NA BENCINSKEM SERVISU;4.50;LOM II;Podjetje išče kandidate za delo na bencinskem servisu.  Nočna izmena je plačana 5,56 € bruto/h. Pogoj je starost nad 18 let. Dostop je mogoč tudi po stari cesti Postojna - Logatec.;4; DLJE ČASA; Izmensko;275844

POMOČ V TRGOVINI;4.06;LJUBLJANA;Pomoč v trgovini na oddelku tehnike (bela tehnika, TV, telefonija ...), predvsem na blagajni. Pogoji: starost nad 18 let, znanje slovenskega jezika in dovolj razpoložljivega časa. Delo poteka tudi med vikendi, ob nedeljah je plačilo 5,50 € bruto/h. Zaželene so izkušnje.;1; PO DOGOVORU; Izmensko;275842

STREŽBA;5.00;GROSUPLJE;Podjetje potrebuje osebo za delo v strežbi. Zaželene so izkušnje, niso pa pogoj. Delovnik je fleksibilen, dela se tudi vikende.;1; DLJE ČASA; Po dogovoru;275839

POMOČ PRI PRODAJI;4.22;LJUBLJANA;Iščejo več kandidatov za pomoč pri prodaji v modni trgovini in za delo s strankami. Pogoj je starost nad 18 let. Prijavo s pripisom: Za Massimo Dutti in z obveznim pripisom svoje telefonske  številke sprejemajo na elektronski naslov.;5; DLJE ČASA; Izmensko;275825

STREŽBA;4.50;GORENJA VAS;Pogoj: izkušnje z delom v strežbi. Delovnik po dogovoru s podjetjem, pretežno čez vikende.;1; DLJE ČASA; med vikendom;275814

FIZIČNA DELA;4.50;GORENJA VAS - PO GORENJSKEM;Podjetje išče kandidata za pomoč pri keramičarskih delih na terenu. Delovnik po dogovoru s podjetjem.;1; DLJE ČASA; Po dogovoru;275801

DELO Z OTROKI;5.00;LJUBLJANA;V razigrano ekipo vabijo prijazno in nasmejano dekle/fanta, ki ima rad/a domišljijske dogodivščine, igre vlog, ples, petje in šport. Poslanstvo je osrečevati otroke in jim pripraviti najbolj kulsko rojstnodnevno pustolovščino. Če v sebi imaš piko norčavosti, malo igralskega talenta in si odgovornen/na ter zanesljiv/a, pozitiven/na, iznajdljiv/a in samoinicitiven/na, so to dodatni plusi.;1; OD 10. 9. DALJE; Po dogovoru;275792

STREŽBA;4.65;ZGORNJI DUPLEK;Podjetje potrebuje polnoletni in komunikativni osebi za delo v strežbi. Pogoji: starost nad 18 let, spretnost in izkušnje z delom v strežbi. Za prijavo pokličite na kontakt podjetja.;2; DLJE ČASA; Izmensko;275784

ZDRAVSTVENA NEGA;5.49;LJUBLJANA;Iščejo dijake višjih letnikov ali študente zdravstvene nege za pomoč pri zdravstveni nege na oddelku in urgentni ambulanti. Prijave s kratko predstavitvijo pošljite na e-mail.;3; PO DOGOVORU; Izmensko;275775

POMOČ V STREŽBI;5.07;ŠMARJE SAP;Zaželene so izkušnje, niso pa pogoj.;2; PO DOGOVORU; Po dogovoru;275774

ANIMATOR;4.48;LJUBLJANA;Potrebujejo polnoletne osebe za delo na rojstnodnevnih praznovanjih za otroke in izvajanje počitniškega varstva v času šolskih počitnic. Pogoji so zanesljivost, občutek za delo z otroki, komunikacijske sposobnosti in energičnost. Dela se po dogovoru.  Prijave na razpis se sprejema pisno s priloženim CV na e-naslov..;3; DLJE ČASA; Izmensko;275772

STREŽBA HRANE IN PIJAČE;5.07;LJUBLJANA;Za strežbo v lokalu novega športnega centra iščejo prijazne, nasmejane študente, ki imajo radi šport in druženje. Prednost bodo imeli tisti, ki že imajo izkušnje s strežbo hrane in/ali pijače in ki nimajo posebnih omejitev glede razporeditve delovnega časa.;4; DLJE ČASA; Po dogovoru;275768

STREŽBA;4.00;RUŠE;Podjetje potrebuje dve polnoletni osebi za strežbo in vplačevanje športnih stav.;2; DLJE ČASA; Po dogovoru;275761

DELO V PROIZVODNJI;4.75;ŠKOFJA LOKA;So družinsko podjetje, ki se ukvarja z obdelavo kovin in nekovin, specializirano za proizvodnjo enostavnih in visoko tehnoloških struženih in rezkanih izdelkov. Njihovi kupci prihajajo iz različnih industrijskih panog kot npr. medicina, farmacija, grelna in hladilna tehnika, merilna tehnika, letalstvo, računalništvo,…Zaradi širitve poslovanja iščejo natančne in resne študente in študentke za pomoč v proizvodnji (delo na CNC strojih, pomoč na dodelavi in pranju). Delovni čas po dogovoru.;2; DLJE ČASA; Izmensko;275757

POMOČ V KUHINJI;4.80;CELJE;Iščejo osebo za pomoč v kuhinji. Delo bo obsegalo pripravo surovin za jedi, pripravo solat in pomivanje posode.;1; DLJE ČASA; Po dogovoru;275750

STREŽBA;5.00;TREBNJE;Iščejo urejeno, prijazno in odgovorno osebo za strežbo v prijetnem, na novo opremljenem lokalu v Trebnjem.;1; PO DOGOVORU; Izmensko;275746

DELO NA TERENU;5.00;LJUBLJANA;Pomoč pri dogodkih (konferenčna oprema) - montaža, demontaža. Delo se običajno napove nekaj tednov ali vsaj nekaj dni vnaprej in je za določeno število ur. Delo po potrebi - terensko, glede na to, kje je dogodek.  ;1; PO DOGOVORU; Po dogovoru;275742

POMOČ V STREŽBI;5.00;LJUBLJANA;Iščejo polnoletni osebi za delo v gostinskem lokalu (strežba toplih in hladnih napitkov). Zaželene so izkušnje, niso pa pogoj. Oseba naj bo komunikativna, urejena, poštena, resna in vestna za delo. Pridnost bo nagrajena s povišanjem urne postavke. Delo se opravlja izmensko med tednom in vikendi. Prijave sprejemajo na email.;2; DLJE ČASA; Po dogovoru;275728

STREŽBA;5.00;SLAŠČIČARNA LOLITA;Prijetna slaščičarna išče dve osebi za strežbo slaščic in pijače.;2; PO DOGOVORU; Izmensko;275721

STREŽBA;4.00;LJUBLJANA;Pomoč pri strežbi. Zaželene izkušnje pri strežbi. Prijave sprejemajo na e-mail. Navedena urna postavka je začetna, možnost stimulacije. Možnost kasnejšega dviga urne postavke in stimulacije.;1; DLJE ČASA; Po dogovoru;275720

STREŽBA;4.22;PRUJSKA GORA;Podjetje potrebuje polnoletno, vestno in komunikativno osebo za strežbo v okrepčevalnici. Delo poteka ob vikendih, občasno med tednom, po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.;1; DLJE ČASA, PO POTREBI; Po dogovoru;275713

GRADBENA DELA;5.50;TEREN;Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za delo in pomoč pri gradbenih delih na terenu in ne gre za delo na višini. Dela se le v dopoldanskem času, oz. po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.;3; OD SEPTEMBRA DO NOVEMBRA 2018; Dopoldan;275710

DELO S STRANKAMI;5.00;LJUBLJANA;Spletni casino išče sodelavce za nudenje podpore igralcem. Delo združuje zanimive kombinacije marketinga, podpore in tehnične pomoči. Če govoriš nemško ali hrvaško, ti odgovarja fleksibilen urnik in si želiš delati z mlado ekipo, te vabijo, da se prijaviš. Pogoj: polnoletnost. Ponujajo možnost redne zaposlitve ter napredovanja na različne pozicije znotraj podjetja. Prijavo pošlji na e-mail naslov.;3; DLJE ČASA; Dopoldan;275707

STREŽBA;4.00;MARIBOR;Pogoji: starost nad 18 let, komunikativnost, odgovornost in fleksibilnost. Izkušnje v strežbi so dobrodošle. Plačilo od 4,73 € bruto /uro.;3; PO DOGOVORU; Izmensko;275705

BLAGAJNIK;4.06;MARIBOR;Podjetje potrebuje dve osebi za delo na blagajni. Delo poteka večinoma med tednom od ponedeljka do petka, občasno tudi ob vikendih. Pogoj je starost nad 20 let. Nedeljska bruto urna postavka znašaš 6 €.;2; DLJE ČASA; Izmensko;275686

STREŽBA HRANE IN PIJAČE;4.22;PREDDVOR;Podjetje potrebuje osebo za strežbo hrane in pijače. Izkušnje so zaželene. Delo je fleksibilno.;1; DLJE ČASA; Po dogovoru;275683

POMOČ V KUHINJI;4.22;PREDDVOR PRI KRANJU;Podjetje potrebuje osebo za pomoč v kuhinji v odlični restavraciji (pomoč pri pripravi hrane, pomivanje, pripravana delo ...). Delo je fleksibilno. Nudijo možnost učenja in napredka.;1; DLJE ČASA; Po dogovoru;275681

FIZIČNA DELA;4.00;LJUBLJANA;Potrebujejo osebo, ki bo z vozičkom vozila hrano po oddelkih. Zaželeno, da se dela popoldan in med vikendi.;2; VSAJ 3 MESECE; Po dogovoru;275675

STREŽBA;4.22;POLJE PRI VODICAH;Plačilo je lahko tudi višje (odvisno od uspešnosti).;2; DLJE ČASA; Izmensko;275667

TEHNIČNA POMOČ;4.65;KRANJ;Tehnična pomoč na različnih prireditvah (ozvočenje). Pogoji: starost nad 18 let in poznavanje elektrotehničnih del.;1; DLJE ČASA; Po dogovoru;275651

BLAGAJNIK;4.00;VIR;V živilski manjši trgovini potrebujejo osebi za polnjenje polic in delo na blagajni. Nedelje so proste. Kličite do 13. ure.;2; DLJE ČASA; Izmensko;275648

STREŽBA;5.00;MARIBOR;Strežba pijač v dnevnem baru. Izkušnje so zaželene. Plačilo: 5 € bruto/h + stimulacija.;2; PO DOGOVORU; Po dogovoru;275647

STREŽBA;4.65;LJUBLJANA;Iščejo komunikativne osebe za delo v mirnem lokalu v Šiški. Delo poteka med vikendi, po dogovoru kdaj med tednom.;2; DLJE ČASA; Izmensko;275643

ARANŽIRANJE;5.00;KAMNIK;Podjetje potrebuje osebo za pomoč pri prodaji. Prednost imajo študenti/-ke z znanjem izdelave šopkov in aranžiranjem daril, izkušnjami pri prodaji in delom na blagajni.;1; DLJE ČASA; Po dogovoru;275641

ZDRAVSTVENA NEGA;6.00;LJUBLJANA;Za izvajanje pomoči na domu potrebujejo odgovorno, zanesljivo, prijetno, komunikativno, prijazno in pridno osebo z veseljem do dela s starejšimi ter predhodno zdravstveno izobrazbo. Prijave sprejemajo na elektronski naslov.sprejemajo na elektronski naslov.;3; DLJE ČASA; Po dogovoru;275637

STREŽBA;5.00;KAMNICA;Podjetje potrebuje dve osebi za strežbo v baru.;2; DLJE ČASA; Po dogovoru;275627

STREŽBA;5.00;VOJNIK;Iščejo osebo za delo v strežbi.;1; PO DOGOVORU; Po dogovoru;275625

PRODAJA;4.22;MURSKA SOBOTA;Podjetje potrebuje osebo za pomoč pri prodaji pic. Nedelje in prazniki prosto.;1; DLJE ČASA; Po dogovoru;275623

STREŽBA;5.40;MALEČNIK;Podjetje potrebuje dve osebi za strežbo. Pogoji: starost nad 18 let, urejenost, prijaznost, spretnost in izkušnje v strežbi. Pričetek dela je takoj.;2; DLJE ČASA; Izmensko;275619

DELO V KUHINJI;5.50;MALEČNIK;Podjetje išče osebo za delo v kuhinji. Pogoj: izkušnje. Oseba naj bo iz stroke (gostinska šola ali podobno).;1; PO DOGOVORU; Po dogovoru;275618

STREŽBA;4.22;LJUBLJANA;Iščejo komunikativnega študenta za delo v strežbi. Pogoji: nad 18 let, izkušnje.;1; DLJE ČASA; Popoldan;275617

STREŽBA HRANE IN PIJAČE;4.00;BENEDIKT V SLOVENSKIH GORICAH;Miren kava bar v centru Benedikta s prijetnimi gosti. Nudijo zaposlitev zanesljiveni in odgovorni osebi. Pogoji: polnoletnost, komunikativnost in veselje do dela. Predhodne delovne izkušnje v strežbi niso pogoj. Bar je odprt od 6.30 do 22.30.;1; DLJE ČASA; med vikendom;275615

DELO V DELAVNICI;6.00;LJUBLJANA;Pomoč v mehanični delavnici (fizično delo). Zaželeno znanje in izkušnje v tehnični stroki.;3; DLJE ČASA; Po dogovoru;275612

LAŽJA FIZIČNA DELA;4.00;LJUBLJANA;POMIVALEC posode v kava baru. Dela se samo med tednom.;1; DLJE ČASA; Dopoldan;275611

DELO V PROIZVODNJI;4.73;MLAKA PRI KRANJU;Podjetje išče osebo za enostavnejša dela v proizvodnji mesnih pripravkov - kebabov. Delo zahteva rokovanje z nožem  in poteka stoje. Pogoj je starost nad 16 let.;3; DLJE ČASA, MOŽNOST ZAPOSLITVE; Dopoldan;275607

DELO V SKLADIŠČU;5.07;CELJE;Iščejo študenta/ko za delo v skladišču in za druga fizična dela. Pogoj je starost nad 18 let. Začetek dela je takoj.;2; DLJE ČASA; Po dogovoru;275580

PISMONOŠA;5.07;CELJE;Iščejo osebo za dostavo pošiljk - pismonoša. Pogoja: starost nad 18 let in motor. Ob urni postavki 6,00 € bruto  nudijo tudi povračilo za stroške goriva. Pričetek dela je takoj.;2; DLJE ČASA; Po dogovoru;275575

STREŽBA;4.22;KRANJ;Pogoj je starost nad 18 let.;1; DLJE ČASA; Po dogovoru;275549

STREŽBA;4.00;LAŠKO;Potrebujejo polnoletno osebo za delo v strežbi lokala pri trgovskem centru. Izkušnje so zaželene. Delo poteka med tednom ter vikendi in prazniki - vse po dogovoru. Urna postavka se giblje od 4,73 - 6 € bruto. Redno plačilo.;1; DLJE ČASA; Izmensko;275536

RAZVOZ;5.07;MARIBOR;Podjetje potrebuje resno in zanesljivo osebo za dostavo poštnih pošiljk do strank in poslovnih partnerjev. Pogoj je izpit B kategorije. Zaželene so izkušnje z vožnjo kombiniranega vozila. Z delom se lahko prične takoj.;1; DLJE ČASA; Po dogovoru;275519

DEGUSTACIJE;5.07;MARIBOR;V svojo ekipo vabijo zanesljive in komunikativne polnoletne osebe za izvajanje degustacij v večjih trgovskih centrih v Mariboru ob petkih in sobotah. Urnik dela je določen za mesec vnaprej. Pogoji: izkušnje z degustacijami, vozniški izpit in lasten prevoz. Povrnjen prevoz do 40 km v všini  0,11€/km. Pisne prijave z življenjepisom pošljite na naslov podjetja.;1; DLJE ČASA; med vikendom;275517

DEGUSTACIJE;5.07;PTUJ;V svojo ekipo vabijo zanesljive in komunikativne polnoletne osebe za izvajanje degustacij v večjih trgovskih centrih na Ptuju ob petkih in sobotah. Urnik dela je določen za mesec vnaprej. Pogoji: izkušnje z degustacijami, vozniški izpit in lasten prevoz. Povrnjen prevoz do 40 km v všini  0,11€/km. Pisne prijave z življenjepisom pošljite na naslov podjetja.;1; DLJE ČASA; med vikendom;275516

PROGRAMIRANJE;9.00;LJUBLJANA;Podjetje išče spletnega razvijalca za razvoj vtičnikov za Wordpress in za razvoj spletnih podatkovnih zbirk in aplikacij. Delo zahteva: obsežno znanje  PHP/MySQL, poznavanje JavaScript, GIT, izkušnje z Wordpress-om, Web development, vključno z ustvarjanjem žične faze. Prijave in opis izkušenj v angleščini sprejemajo na e-mail.;1; PO DOGOVORU; Po dogovoru;275504

POLNJENJE POLIC;4.30;LJUBLJANA;Polnjenje polic na oddelku sadja in zelenjave. Kličite od 9. do 14. ure.;1; DLJE ČASA; Izmensko;275495

SLIKOPLESKARSKA DELA;6.00;VODICE;Pogoja: starost nad 18 let in izpit B kategorije.;2; DLJE ČASA; Dopoldan;275486

DELO NA RECEPCIJI;4.22;KRANJ;Iščejo osebo za delo na recepciji bowling stez. Pogoj je starost nad 18 let, komunikativnost in urejenost.;3; DLJE ČASA; Po dogovoru;275485

STREŽBA;5.00;ZGORNJE KONJIŠČE;Iščejo vestnega študenta/-ko za delo v strežbi. Delo poteka v gostilni, streže se hrana in pijača, je razgibano in delovnik po dogovoru (pretežno vikendi). Pogoj je osnovno znanje nemškega jezika. Pridnost je nagrajena s stimulacijo.;1; DLJE ČASA; Po dogovoru;275483

ČIŠČENJE;5.07;LJUBLJANA;Pomoč pri čiščenju lokala. Pogoji: starost nad 20 let, izkušnje, odgovornost, resnost in pogovorno znanje slovenščine. Sčasoma možnost samostojnega dela. Delo je pozno zvečer.;1; PO DOGOVORU; Popoldan;275481

ORGANIZACIJSKA DELA;4.83;ŠKOFLJICA;Inovativno slovensko podjetje, ki razvija in trži prehranska dopolnila za hišne ljubljenčke išče ambiciozno osebo za organizacijo in vodenje administracije. Zaželjene so predhodne izkušnje  in znanje anglešćine in nemščine. Delo poteka na sedežu podjetja in zahteva dinamičnost, odgovornost, učljivost in resnost. Nudijo možnost dologoročnega sodelovanja in kariernega napredovanja.;1; DLJE ČASA, 2-3 X TEDENSKO; Po dogovoru;275476

FIZIČNA DELA;5.00;LJUBLJANA;Potrebujejo polnoletno osebo za delo pomivanje posode v pizzeriji za daljše obdobje. Fleksibiln delovnik.;2; DLJE ČASA; Izmensko;275466

TRŽENJE;6.76;CELJE;Podjetje išče več študentkov/k za trženje na terenu. Pogoji: starost nad 18 let, vozniško dovoljenje B kategorije in lastni prevoz. Zaželeno je, da so osebe resne, prodajno motivirane in sposobne hitrega učenja. Prijave z življenjepisom, pripisanimi izkušnjami in kontaktom sprejemajo na e-mail.;3; PO DOGOVORU; Po dogovoru;275457

STREŽBA;4.20;KAMNIK - DUPLICA;Prijeten lokal išče prijetn in komunikativno osebo za strežbo. Delovnik je izmenski. Zelo zaželene so izkušnje. Plačilo do 5.33€/h bruto.;1; DLJE ČASA; Izmensko;275454

POMOČ V KUHINJI;4.30;CELJE;Trgovsko podjetje za dlje časa potrebuje osebo za pomoč v kuhinji. Prijave sprejemajo na kontaktu podjetja do 14. ure.;1; DLJE ČASA; Po dogovoru;275445

DELO NA BENCINSKEM SERVISU;4.00;SLIVNICA VZHOD;Podjetje potrebuje komunikativno, prijazno, delovno in iznajdljivo osebo za delo na bencinskem servisu. Delo zajema delo na blagajni, polnjenje polic, čiščenje. Zaželene so izkušnje z delom na blagajni. Pogoj je starost nad 18 let.;1; DLJE  ČASA; med vikendom;275427

MASER;4.22;DOLENJSKE TOPLICE;Iščejo osebe za izvajanje različnih masaž (ročnih, aparaturnih). Urna postavka je med 5 in 5,5 eu bruto, odvisna glede na znanje. Pogoji: znanje in izkušnje pri izvajanju različnih tehnik masaž, opravljen tečaj za maserje, urejenost, prijaznost, komunikativnost ter opravljen vozniški izpit B kategorije.;1; DLJE ČASA, OBČASNO; Po dogovoru;275415

POMOČ PRI PRODAJI;4.00;LJUBLJANA;Podjetje išče polnoletne osebe za delo v trgovini z modnimi oblačili in dodatki (delo na blagajni, pomoč strankam,, urejanje trgovine ...). Delo je izmensko (tudi vikendi). Pogoji: končana srednja šola, veselje in želja do dela. Zaželene so izkušnje.;1; DLJE ČASA; Po dogovoru;275410

FIZIOTERAPIJA;4.65;ŠMARJEŠKE/DOLENJSKE TOPLICE;Podjetje išče osebe za občasno izvajanje enostavnih fizioterapevtskih storitev. Urna postavka je med 5,5 do 6,5 € bruto, odvisno od znanja. Pogoji: absolvent/ka (fizioterapije, delovne terapije, medicine, zdravstvene nege, kineziologije, športne vzgoje), osebna urejenost, prijaznost, komunikativnost in opravljen vozniški izpit B kategorije.;1; DLJE ČASA, OBČASNO; Po dogovoru;275408

POMOČ PRI PRODAJI;4.00;LJUBLJANA;Podjetje išče polnoletne osebe za delo v trgovini z modnimi oblačili in dodatki (delo na blagajni, pomoč strankam,, urejanje trgovine ...). Delo je izmensko (tudi vikendi). Pogoji: končana srednja šola, veselje in želja do dela. Zaželene so izkušnje.;1; DLJE ČASA; Po dogovoru;275406

DELO V PROIZVODNJI;4.22;TRZIN;Delo se izvaja v proizvodnji elektronskih naprav in obsega spajkanje elektronskih komponent, vstavljanje naprav v kovinska ohišja, sestavljanje kartonske embalaže in ostalo. Od kandidata se pričakujeta  samostojnost in natančnost.;1; DLJE ČASA; Dopoldan;275405

POMOČ PRI PRODAJI;4.00;CELJE;Podjetje išče polnoletne osebe za delo v trgovini z modnimi oblačili in dodatki (delo na blagajni, pomoč strankam,, urejanje trgovine ...). Delo je izmensko (tudi vikendi). Pogoji: končana srednja šola, veselje in želja do dela. Zaželene so izkušnje.;1; DLJE ČASA; Po dogovoru;275391

DELO V SKLADIŠČU;4.00;KAMNIK;Podjetje potrebuje tri polnoletne osebe za dinamično delo v skladišču (prevzem robe, skladiščenje, komisioniranje, pakiranje, prepakiranje, etiketiranje, izdaja robe). Delovnik je dopoldanski. Prijavo s kontakti in kratkim CV pošljite na e-naslov.;3; DLJE ČASA; Dopoldan;275390

PRODAJA;4.00;KOPER;Podjetje išče osebo za prodajo srečk v loteriji. Pogoj je starost nad 20 let.;1; DLJE ČASA; Po dogovoru;275387

STREŽBA;5.00;LJUBLJANA;Nov lokal v centru Ljubljane. Delo je izmensko ali po dogovoru. Poleg urne postavke nudijo tudi stimulacijo glede na promet.;1; DLJE ČASA; Izmensko;275386

UREJANJE OKOLICE;4.22;NOVO MESTO;Urejanje okolice, čščenje in košnja.;1; DLJE ČASA; Dopoldan;275384

ČIŠČENJE;4.22;NOVO MESTO;Čiščenje prostorov  - pisarn in vlakov.;1; DLJE ČASA; Dopoldan;275383

PAKIRANJE;4.22;LJUBLJANA;Sestavljanje novoletnih kompletov. Pogoj: starost nad 19 let.;4; 2 MESECA; Dopoldan;275380

POLNJENJE POLIC;4.00;NOVA GORICA IN ŠEMPETER PRI NOVI GORICI;Podjetje potrebuje polnoletno osebo z lastnim prevozom za polnjenje - zlaganje njihovih izdelkov na police v trgovinah. Pošljite kratek Cv na e-naslov.;1; DLJE ČASA; Po dogovoru;275379

STREŽBA;5.00;ŽALEC;Iščejo polnoletno osebo za pomoč v strežbi. Zaželene so izkušnje. Delo potekal popoldan in med vikendi.;2; DLJE ČASA; Popoldan;275363

FIZIČNA DELA;4.22;ŽABNICA - PO GORENJSKEM;Podjetje išče polnoletnega kandidata za izdelavo strojnih inštalacij (vodovod, ogrevanje, prezračevanje ipd.). Delo je terensko. Urna postavka po dogovoru s podjetjem.;1; DLJE ČASA; Po dogovoru;275362

PRODAJA;4.56;LJUBLJANA;Iščejo osebo za pripravo naročil v spletni trgovini. Pričetek dela je čimprej oz. po dogovoru. Išče se osebo za dlje časa kot tudi za občasno pomoč, po dogovoru. Za prijavo pošljite e-mail.;1; PO DOGOVORU; Izmensko;275361

DELO NA TERENU;4.50;VOLČJI POTOK;Podjetje potrebuje študenta za pomoč pri izvajanju vrtnarskih del po Sloveniji. Pričetek dela je takoj.;2; DO 30.11.2018; Po dogovoru;275356

STREŽBA;4.99;PORTOROŽ-LUCIJA;Podjetje išče osebo za samostojno delo v baru. Možna tudi nastanitev.;1; PO DOGOVORU; Po dogovoru;275354

DELO NA TERENU;4.00;ŠENČUR;Dostava hrane. Pogoja: starost nad 18 let in izpit B-kategorije.;1; DLJE ČASA; Dopoldan;275351

VARSTVO;5.11;CUDV DRAGA;Potrebujejo polnoletno osebo za delo z osebami s posebnimi potrebami. Poudarek na varovanju in osebni negi oseb s posebnimi potrebami in skrb za urejenost in čistost bivalnih prostorov.;2; PO DOGOVORU; Izmensko;275350

RAZVOZ;4.39;KRANJ;Podjetje potrebuje osebo za dostavo hrane. Dela se s službenim vozilom. Pogoji: starost nad 20 let, izpit B-kategorije, resnost, odgovornost.;1; DLJE ČASA; Izmensko;275349

ZDRAVSTVENA NEGA;4.00;JARENINA;Podjetje potrebuje osebo za pomoč pri umivanju, oblačenju, hranjenju, britju stanovalcev, skrb za njihovo fizično okolje (pospravljanje postelje). Pogoji: empatija do starejših, komunikativnost, fleksibilnost.;2; DLJE ČASA; Po dogovoru;275347

POMOČ V TRGOVINI;4.00;ŽALEC;Podjetje išče polnoletno osebo za pomoč v trgovini.;1; DLJE ČASA; Izmensko;275343

POMOČ PRI PRODAJI;4.00;LJUBLJANA;Trgovec s tehničnim blagom vabi polnoletno osebo, da se pridruži ekipi za pomoč pri prodaji. Delo v prodaji ponuja priložnost za razvoj kompetenc, ki iz prodajalca naredijo strokovnjaka. Izkušnje so zaželene, ne pa nujne. Pomembni sta volja in navdušenje. Če ti je digitalna tehnologija blizu, se oglasi. Nudijo fiksno plačilo + stimulacijo.;1; DLJE ČASA; Izmensko;275337

STREŽBA;5.00;KISOVEC;Strežba pijač in toplih napitkov v čisto novem in zelo prijetnem lokalu. Zaželena dekleta in fantje od 18.leta dalje. Lahko ste brez izkušenj, oziroma že vešči strežbe. Pomembne so samo vaša komunikativnost, urejenost in veselje do dela s strankami.;5; PO DOGOVORU; Po dogovoru;275320

BLAGAJNIK;4.00;MARIBOR;Podjetje potrebuje študente/-ke za delo na blagajni v trgovskem centru. Delo bo potekalo po urniku oz. po dogovoru. Prijavo pošljite na elektronski naslov podjetja in pripišite svojo telefonsko številko ali pokličite na navedeno telefonsko številko.;5; PO DOGOVORU; Po dogovoru;275302

BLAGAJNIK;4.22;KOPER;Podjetje išče zanesljive študente za delo na blagajni kina. POGOJ: dolgoročno sodelovanje ter visoka razpoložljivost.;2; DLJE ČASA; Popoldan;275301

TEHNIČNA POMOČ;4.22;KOPER;Podjetje išče, zanesljivega študenta/študentko, za opravljanje delovnega mesta video tehnik. Pogoj: izključno dolgoročno sodelovanje, ter visoka delovna razpoložljivost. Prošnjo pošljite na mail in se nemudoma oglasite na razgovoru.;1; DLJE ČASA; Popoldan;275298

PISMONOŠA;5.07;IZOLA;Dostava pošiljk - pismonoša. Delovnik predvsem zjutraj (možen tudi kombiniran delovnik). Pogoj: polnoletnost, zaželen  izpit B kategorije.;3; PO DOGOVORU; Izmensko;275296

POMOČ V STREŽBI;5.00;LJUBLJANA;Podjetje išče osebi za pomoč v strežbi. Zaželeno znanje angleščine, komunikativnost, spretnost in osebna urejenost. Dobrodošle so predhodne izkušnje iz gostinskih del. Topel ali hladni obrok zagotovljen (se ne odbije od plačila za delo).;2; DLJE ČASA; Po dogovoru;275293

POMOČ PRI PRODAJI;4.22;LJUBLJANA;Potrebujejo študenta ali študentko za delo v prodajalni z obutvijo. Izkušnje niso potrebne, potrebna je dobra volja, osebni stil in team work. Prijave sprejemajo na telefon.;2; PO DOGOVORU; Izmensko;275288

POMOČ V TRGOVINI;4.22;CERKLJE NA GORENJSKEM;Iščejo polnoletno osebo za delo na blagajni in polnjenje polic. Plačilo med vikendi je 6 €/h bruto;1; PO DOGOVORU; Izmensko;275287

VRTNARSKA DELA;6.00;ŠENTVID PRI STIČNI;Podjetje išče osebe za vrtnarska dela na terenu. Zaželen izpit B kategorije. Delo poteka pretežno v dopoldanskem času.;2; DLJE ČASA; Dopoldan;275276

BLAGAJNIK;4.22;CERKLJE NA GORENJSKEM;Podjetje potrebuje več polnoletnih oseb za delo na blagajni. Delo poteka vse dni v tednu, nedelje so plačane 6€/h bruto. Pogoji: resnost in odgovornost ter dovolj razpoložljivega prostega časa.;3; DLJE ČASA; Izmensko;275275

